,nominal_temperature,boundary_conditions
2082,83,"[43, 43, 43, 14, 14, 14, 40, 40, 40, 94, 94, 94, 68, 68, 68, 93, 93, 93, 45, 45, 45, 52, 52, 52, 17, 17, 17, 44, 44, 44, 0, 0, 0, 80, 80, 80]"
2083,41,"[32, 32, 32, 66, 66, 66, 58, 58, 58, 6, 6, 6, 17, 17, 17, 98, 98, 98, 10, 10, 10, 68, 68, 68, 69, 69, 69, 30, 30, 30, 50, 50, 50, 60, 60, 60]"
2084,67,"[44, 44, 44, 31, 31, 31, 77, 77, 77, 14, 14, 14, 24, 24, 24, 27, 27, 27, 58, 58, 58, 35, 35, 35, 0, 0, 0, 25, 25, 25, 68, 68, 68, 85, 85, 85]"
2085,88,"[100, 100, 100, 65, 65, 65, 40, 40, 40, 15, 15, 15, 9, 9, 9, 82, 82, 82, 13, 13, 13, 34, 34, 34, 62, 62, 62, 81, 81, 81, 15, 15, 15, 5, 5, 5]"
2086,17,"[86, 86, 86, 52, 52, 52, 10, 10, 10, 39, 39, 39, 82, 82, 82, 83, 83, 83, 100, 100, 100, 87, 87, 87, 82, 82, 82, 18, 18, 18, 10, 10, 10, 72, 72, 72]"
2087,86,"[44, 44, 44, 46, 46, 46, 79, 79, 79, 10, 10, 10, 82, 82, 82, 77, 77, 77, 39, 39, 39, 21, 21, 21, 3, 3, 3, 33, 33, 33, 12, 12, 12, 55, 55, 55]"
2088,87,"[67, 67, 67, 72, 72, 72, 69, 69, 69, 98, 98, 98, 6, 6, 6, 52, 52, 52, 25, 25, 25, 47, 47, 47, 95, 95, 95, 34, 34, 34, 35, 35, 35, 93, 93, 93]"
2089,60,"[75, 75, 75, 60, 60, 60, 3, 3, 3, 23, 23, 23, 56, 56, 56, 96, 96, 96, 0, 0, 0, 92, 92, 92, 96, 96, 96, 72, 72, 72, 95, 95, 95, 51, 51, 51]"
2090,10,"[92, 92, 92, 94, 94, 94, 73, 73, 73, 86, 86, 86, 92, 92, 92, 94, 94, 94, 3, 3, 3, 0, 0, 0, 87, 87, 87, 4, 4, 4, 68, 68, 68, 68, 68, 68]"
2091,76,"[30, 30, 30, 33, 33, 33, 18, 18, 18, 59, 59, 59, 16, 16, 16, 63, 63, 63, 9, 9, 9, 45, 45, 45, 100, 100, 100, 28, 28, 28, 4, 4, 4, 44, 44, 44]"
2092,66,"[19, 19, 19, 16, 16, 16, 82, 82, 82, 13, 13, 13, 41, 41, 41, 48, 48, 48, 62, 62, 62, 5, 5, 5, 98, 98, 98, 32, 32, 32, 11, 11, 11, 2, 2, 2]"
2093,12,"[48, 48, 48, 38, 38, 38, 79, 79, 79, 40, 40, 40, 99, 99, 99, 62, 62, 62, 74, 74, 74, 34, 34, 34, 37, 37, 37, 26, 26, 26, 57, 57, 57, 69, 69, 69]"
2094,87,"[4, 4, 4, 12, 12, 12, 14, 14, 14, 66, 66, 66, 60, 60, 60, 0, 0, 0, 76, 76, 76, 64, 64, 64, 52, 52, 52, 46, 46, 46, 47, 47, 47, 6, 6, 6]"
2095,13,"[3, 3, 3, 3, 3, 3, 11, 11, 11, 77, 77, 77, 19, 19, 19, 13, 13, 13, 52, 52, 52, 45, 45, 45, 36, 36, 36, 39, 39, 39, 0, 0, 0, 89, 89, 89]"
2096,47,"[40, 40, 40, 49, 49, 49, 68, 68, 68, 14, 14, 14, 83, 83, 83, 56, 56, 56, 0, 0, 0, 23, 23, 23, 54, 54, 54, 74, 74, 74, 30, 30, 30, 15, 15, 15]"
2097,44,"[47, 47, 47, 51, 51, 51, 88, 88, 88, 31, 31, 31, 92, 92, 92, 67, 67, 67, 63, 63, 63, 71, 71, 71, 9, 9, 9, 60, 60, 60, 97, 97, 97, 62, 62, 62]"
2098,1,"[6, 6, 6, 6, 6, 6, 74, 74, 74, 16, 16, 16, 85, 85, 85, 39, 39, 39, 45, 45, 45, 100, 100, 100, 74, 74, 74, 24, 24, 24, 48, 48, 48, 59, 59, 59]"
2099,52,"[64, 64, 64, 9, 9, 9, 85, 85, 85, 31, 31, 31, 39, 39, 39, 70, 70, 70, 32, 32, 32, 47, 47, 47, 65, 65, 65, 13, 13, 13, 97, 97, 97, 4, 4, 4]"
2100,75,"[84, 84, 84, 59, 59, 59, 91, 91, 91, 56, 56, 56, 83, 83, 83, 92, 92, 92, 10, 10, 10, 80, 80, 80, 18, 18, 18, 99, 99, 99, 5, 5, 5, 77, 77, 77]"
2101,61,"[94, 94, 94, 65, 65, 65, 87, 87, 87, 67, 67, 67, 3, 3, 3, 41, 41, 41, 36, 36, 36, 53, 53, 53, 65, 65, 65, 57, 57, 57, 5, 5, 5, 87, 87, 87]"
2102,18,"[95, 95, 95, 78, 78, 78, 59, 59, 59, 58, 58, 58, 22, 22, 22, 45, 45, 45, 46, 46, 46, 38, 38, 38, 18, 18, 18, 69, 69, 69, 35, 35, 35, 73, 73, 73]"
2103,24,"[0, 0, 0, 56, 56, 56, 52, 52, 52, 25, 25, 25, 25, 25, 25, 39, 39, 39, 30, 30, 30, 63, 63, 63, 55, 55, 55, 24, 24, 24, 80, 80, 80, 65, 65, 65]"
2104,94,"[49, 49, 49, 19, 19, 19, 92, 92, 92, 14, 14, 14, 82, 82, 82, 82, 82, 82, 41, 41, 41, 43, 43, 43, 19, 19, 19, 49, 49, 49, 18, 18, 18, 84, 84, 84]"
2105,24,"[58, 58, 58, 53, 53, 53, 100, 100, 100, 80, 80, 80, 93, 93, 93, 9, 9, 9, 34, 34, 34, 47, 47, 47, 83, 83, 83, 79, 79, 79, 82, 82, 82, 45, 45, 45]"
2106,95,"[62, 62, 62, 3, 3, 3, 15, 15, 15, 18, 18, 18, 68, 68, 68, 40, 40, 40, 59, 59, 59, 77, 77, 77, 18, 18, 18, 23, 23, 23, 94, 94, 94, 96, 96, 96]"
2107,33,"[21, 21, 21, 26, 26, 26, 36, 36, 36, 64, 64, 64, 24, 24, 24, 63, 63, 63, 18, 18, 18, 50, 50, 50, 85, 85, 85, 14, 14, 14, 65, 65, 65, 90, 90, 90]"
2108,75,"[68, 68, 68, 100, 100, 100, 39, 39, 39, 65, 65, 65, 34, 34, 34, 22, 22, 22, 11, 11, 11, 20, 20, 20, 41, 41, 41, 22, 22, 22, 92, 92, 92, 40, 40, 40]"
2109,98,"[100, 100, 100, 5, 5, 5, 97, 97, 97, 69, 69, 69, 28, 28, 28, 97, 97, 97, 95, 95, 95, 84, 84, 84, 55, 55, 55, 44, 44, 44, 52, 52, 52, 10, 10, 10]"
2110,54,"[75, 75, 75, 18, 18, 18, 89, 89, 89, 84, 84, 84, 91, 91, 91, 2, 2, 2, 14, 14, 14, 2, 2, 2, 64, 64, 64, 72, 72, 72, 33, 33, 33, 42, 42, 42]"
2111,28,"[96, 96, 96, 77, 77, 77, 93, 93, 93, 79, 79, 79, 98, 98, 98, 20, 20, 20, 59, 59, 59, 39, 39, 39, 54, 54, 54, 15, 15, 15, 77, 77, 77, 41, 41, 41]"
2112,47,"[99, 99, 99, 24, 24, 24, 66, 66, 66, 76, 76, 76, 26, 26, 26, 20, 20, 20, 31, 31, 31, 57, 57, 57, 73, 73, 73, 2, 2, 2, 97, 97, 97, 0, 0, 0]"
2113,3,"[18, 18, 18, 83, 83, 83, 66, 66, 66, 20, 20, 20, 23, 23, 23, 21, 21, 21, 45, 45, 45, 95, 95, 95, 49, 49, 49, 16, 16, 16, 94, 94, 94, 68, 68, 68]"
2114,51,"[82, 82, 82, 83, 83, 83, 99, 99, 99, 40, 40, 40, 91, 91, 91, 23, 23, 23, 36, 36, 36, 61, 61, 61, 21, 21, 21, 28, 28, 28, 50, 50, 50, 51, 51, 51]"
2115,15,"[6, 6, 6, 39, 39, 39, 16, 16, 16, 38, 38, 38, 1, 1, 1, 6, 6, 6, 51, 51, 51, 45, 45, 45, 45, 45, 45, 37, 37, 37, 55, 55, 55, 48, 48, 48]"
2116,77,"[18, 18, 18, 97, 97, 97, 7, 7, 7, 94, 94, 94, 90, 90, 90, 3, 3, 3, 41, 41, 41, 59, 59, 59, 81, 81, 81, 73, 73, 73, 92, 92, 92, 78, 78, 78]"
2117,53,"[26, 26, 26, 85, 85, 85, 97, 97, 97, 57, 57, 57, 67, 67, 67, 85, 85, 85, 44, 44, 44, 33, 33, 33, 89, 89, 89, 39, 39, 39, 94, 94, 94, 93, 93, 93]"
2118,20,"[5, 5, 5, 11, 11, 11, 9, 9, 9, 8, 8, 8, 100, 100, 100, 41, 41, 41, 25, 25, 25, 44, 44, 44, 46, 46, 46, 6, 6, 6, 46, 46, 46, 94, 94, 94]"
2119,43,"[65, 65, 65, 96, 96, 96, 93, 93, 93, 90, 90, 90, 5, 5, 5, 49, 49, 49, 79, 79, 79, 5, 5, 5, 80, 80, 80, 9, 9, 9, 9, 9, 9, 37, 37, 37]"
2120,95,"[0, 0, 0, 47, 47, 47, 6, 6, 6, 75, 75, 75, 75, 75, 75, 74, 74, 74, 60, 60, 60, 95, 95, 95, 43, 43, 43, 57, 57, 57, 57, 57, 57, 39, 39, 39]"
2121,5,"[33, 33, 33, 23, 23, 23, 45, 45, 45, 93, 93, 93, 96, 96, 96, 97, 97, 97, 20, 20, 20, 47, 47, 47, 5, 5, 5, 64, 64, 64, 80, 80, 80, 91, 91, 91]"
2122,67,"[71, 71, 71, 85, 85, 85, 64, 64, 64, 71, 71, 71, 53, 53, 53, 64, 64, 64, 91, 91, 91, 34, 34, 34, 97, 97, 97, 46, 46, 46, 92, 92, 92, 63, 63, 63]"
2123,42,"[73, 73, 73, 14, 14, 14, 9, 9, 9, 76, 76, 76, 60, 60, 60, 96, 96, 96, 10, 10, 10, 8, 8, 8, 40, 40, 40, 44, 44, 44, 47, 47, 47, 39, 39, 39]"
2124,90,"[43, 43, 43, 95, 95, 95, 89, 89, 89, 80, 80, 80, 63, 63, 63, 88, 88, 88, 95, 95, 95, 53, 53, 53, 67, 67, 67, 98, 98, 98, 49, 49, 49, 27, 27, 27]"
2125,46,"[56, 56, 56, 1, 1, 1, 28, 28, 28, 49, 49, 49, 70, 70, 70, 13, 13, 13, 16, 16, 16, 42, 42, 42, 98, 98, 98, 50, 50, 50, 79, 79, 79, 54, 54, 54]"
2126,33,"[73, 73, 73, 98, 98, 98, 6, 6, 6, 59, 59, 59, 45, 45, 45, 20, 20, 20, 11, 11, 11, 34, 34, 34, 95, 95, 95, 12, 12, 12, 33, 33, 33, 63, 63, 63]"
2127,49,"[94, 94, 94, 77, 77, 77, 16, 16, 16, 50, 50, 50, 71, 71, 71, 38, 38, 38, 60, 60, 60, 3, 3, 3, 0, 0, 0, 6, 6, 6, 13, 13, 13, 73, 73, 73]"
2128,5,"[28, 28, 28, 44, 44, 44, 44, 44, 44, 92, 92, 92, 73, 73, 73, 70, 70, 70, 58, 58, 58, 37, 37, 37, 52, 52, 52, 86, 86, 86, 1, 1, 1, 82, 82, 82]"
2129,52,"[25, 25, 25, 90, 90, 90, 43, 43, 43, 19, 19, 19, 52, 52, 52, 73, 73, 73, 94, 94, 94, 98, 98, 98, 11, 11, 11, 68, 68, 68, 7, 7, 7, 77, 77, 77]"
2130,54,"[90, 90, 90, 33, 33, 33, 51, 51, 51, 81, 81, 81, 48, 48, 48, 40, 40, 40, 75, 75, 75, 83, 83, 83, 32, 32, 32, 49, 49, 49, 22, 22, 22, 51, 51, 51]"
2131,0,"[78, 78, 78, 59, 59, 59, 26, 26, 26, 80, 80, 80, 3, 3, 3, 88, 88, 88, 22, 22, 22, 13, 13, 13, 8, 8, 8, 92, 92, 92, 29, 29, 29, 100, 100, 100]"
2132,1,"[31, 31, 31, 2, 2, 2, 6, 6, 6, 26, 26, 26, 30, 30, 30, 12, 12, 12, 68, 68, 68, 26, 26, 26, 66, 66, 66, 46, 46, 46, 40, 40, 40, 70, 70, 70]"
2133,73,"[85, 85, 85, 6, 6, 6, 25, 25, 25, 24, 24, 24, 38, 38, 38, 19, 19, 19, 49, 49, 49, 76, 76, 76, 13, 13, 13, 52, 52, 52, 87, 87, 87, 98, 98, 98]"
2134,81,"[51, 51, 51, 69, 69, 69, 15, 15, 15, 59, 59, 59, 92, 92, 92, 76, 76, 76, 65, 65, 65, 16, 16, 16, 20, 20, 20, 18, 18, 18, 6, 6, 6, 3, 3, 3]"
2135,46,"[75, 75, 75, 75, 75, 75, 21, 21, 21, 88, 88, 88, 17, 17, 17, 90, 90, 90, 94, 94, 94, 39, 39, 39, 31, 31, 31, 98, 98, 98, 40, 40, 40, 79, 79, 79]"
2136,80,"[46, 46, 46, 97, 97, 97, 30, 30, 30, 15, 15, 15, 78, 78, 78, 69, 69, 69, 19, 19, 19, 79, 79, 79, 18, 18, 18, 40, 40, 40, 47, 47, 47, 22, 22, 22]"
2137,62,"[33, 33, 33, 57, 57, 57, 71, 71, 71, 74, 74, 74, 82, 82, 82, 56, 56, 56, 49, 49, 49, 22, 22, 22, 2, 2, 2, 35, 35, 35, 2, 2, 2, 0, 0, 0]"
2138,16,"[5, 5, 5, 83, 83, 83, 39, 39, 39, 6, 6, 6, 43, 43, 43, 7, 7, 7, 57, 57, 57, 73, 73, 73, 37, 37, 37, 47, 47, 47, 37, 37, 37, 75, 75, 75]"
2139,61,"[21, 21, 21, 44, 44, 44, 72, 72, 72, 2, 2, 2, 76, 76, 76, 3, 3, 3, 25, 25, 25, 97, 97, 97, 63, 63, 63, 56, 56, 56, 8, 8, 8, 33, 33, 33]"
2140,70,"[48, 48, 48, 73, 73, 73, 51, 51, 51, 4, 4, 4, 67, 67, 67, 46, 46, 46, 11, 11, 11, 7, 7, 7, 2, 2, 2, 71, 71, 71, 12, 12, 12, 58, 58, 58]"
2141,45,"[97, 97, 97, 58, 58, 58, 84, 84, 84, 36, 36, 36, 32, 32, 32, 74, 74, 74, 100, 100, 100, 52, 52, 52, 49, 49, 49, 67, 67, 67, 1, 1, 1, 64, 64, 64]"
2142,97,"[36, 36, 36, 73, 73, 73, 11, 11, 11, 9, 9, 9, 60, 60, 60, 36, 36, 36, 18, 18, 18, 7, 7, 7, 16, 16, 16, 63, 63, 63, 82, 82, 82, 4, 4, 4]"
2143,98,"[81, 81, 81, 34, 34, 34, 41, 41, 41, 59, 59, 59, 96, 96, 96, 66, 66, 66, 63, 63, 63, 39, 39, 39, 87, 87, 87, 65, 65, 65, 78, 78, 78, 47, 47, 47]"
2144,75,"[83, 83, 83, 30, 30, 30, 32, 32, 32, 85, 85, 85, 71, 71, 71, 62, 62, 62, 84, 84, 84, 8, 8, 8, 14, 14, 14, 98, 98, 98, 56, 56, 56, 52, 52, 52]"
2145,1,"[36, 36, 36, 73, 73, 73, 40, 40, 40, 90, 90, 90, 50, 50, 50, 41, 41, 41, 77, 77, 77, 10, 10, 10, 48, 48, 48, 17, 17, 17, 54, 54, 54, 6, 6, 6]"
2146,17,"[1, 1, 1, 62, 62, 62, 97, 97, 97, 32, 32, 32, 60, 60, 60, 61, 61, 61, 13, 13, 13, 100, 100, 100, 40, 40, 40, 64, 64, 64, 28, 28, 28, 9, 9, 9]"
2147,98,"[36, 36, 36, 17, 17, 17, 36, 36, 36, 25, 25, 25, 18, 18, 18, 35, 35, 35, 33, 33, 33, 45, 45, 45, 60, 60, 60, 78, 78, 78, 55, 55, 55, 42, 42, 42]"
2148,59,"[49, 49, 49, 49, 49, 49, 33, 33, 33, 14, 14, 14, 74, 74, 74, 22, 22, 22, 6, 6, 6, 12, 12, 12, 98, 98, 98, 78, 78, 78, 0, 0, 0, 34, 34, 34]"
2149,50,"[68, 68, 68, 34, 34, 34, 79, 79, 79, 72, 72, 72, 10, 10, 10, 52, 52, 52, 66, 66, 66, 19, 19, 19, 22, 22, 22, 46, 46, 46, 48, 48, 48, 48, 48, 48]"
2150,81,"[36, 36, 36, 21, 21, 21, 91, 91, 91, 7, 7, 7, 0, 0, 0, 50, 50, 50, 95, 95, 95, 98, 98, 98, 18, 18, 18, 0, 0, 0, 15, 15, 15, 25, 25, 25]"
2151,53,"[98, 98, 98, 23, 23, 23, 68, 68, 68, 88, 88, 88, 19, 19, 19, 86, 86, 86, 12, 12, 12, 49, 49, 49, 6, 6, 6, 70, 70, 70, 50, 50, 50, 70, 70, 70]"
2152,16,"[48, 48, 48, 79, 79, 79, 87, 87, 87, 23, 23, 23, 0, 0, 0, 13, 13, 13, 72, 72, 72, 13, 13, 13, 87, 87, 87, 2, 2, 2, 63, 63, 63, 70, 70, 70]"
2153,25,"[56, 56, 56, 60, 60, 60, 79, 79, 79, 91, 91, 91, 96, 96, 96, 52, 52, 52, 19, 19, 19, 79, 79, 79, 1, 1, 1, 42, 42, 42, 28, 28, 28, 94, 94, 94]"
2154,58,"[52, 52, 52, 81, 81, 81, 58, 58, 58, 71, 71, 71, 86, 86, 86, 60, 60, 60, 37, 37, 37, 36, 36, 36, 96, 96, 96, 88, 88, 88, 33, 33, 33, 99, 99, 99]"
2155,88,"[46, 46, 46, 57, 57, 57, 82, 82, 82, 51, 51, 51, 13, 13, 13, 6, 6, 6, 52, 52, 52, 84, 84, 84, 87, 87, 87, 37, 37, 37, 36, 36, 36, 90, 90, 90]"
2156,65,"[18, 18, 18, 52, 52, 52, 25, 25, 25, 19, 19, 19, 16, 16, 16, 75, 75, 75, 91, 91, 91, 14, 14, 14, 48, 48, 48, 5, 5, 5, 6, 6, 6, 49, 49, 49]"
2157,91,"[62, 62, 62, 55, 55, 55, 64, 64, 64, 83, 83, 83, 35, 35, 35, 30, 30, 30, 30, 30, 30, 99, 99, 99, 88, 88, 88, 56, 56, 56, 73, 73, 73, 67, 67, 67]"
2158,17,"[68, 68, 68, 77, 77, 77, 10, 10, 10, 56, 56, 56, 54, 54, 54, 99, 99, 99, 37, 37, 37, 72, 72, 72, 22, 22, 22, 10, 10, 10, 12, 12, 12, 79, 79, 79]"
2159,3,"[32, 32, 32, 92, 92, 92, 45, 45, 45, 46, 46, 46, 17, 17, 17, 41, 41, 41, 63, 63, 63, 78, 78, 78, 85, 85, 85, 65, 65, 65, 70, 70, 70, 8, 8, 8]"
2160,0,"[25, 25, 25, 54, 54, 54, 90, 90, 90, 34, 34, 34, 31, 31, 31, 29, 29, 29, 11, 11, 11, 27, 27, 27, 82, 82, 82, 25, 25, 25, 44, 44, 44, 33, 33, 33]"
2161,39,"[11, 11, 11, 93, 93, 93, 59, 59, 59, 77, 77, 77, 8, 8, 8, 8, 8, 8, 19, 19, 19, 70, 70, 70, 46, 46, 46, 18, 18, 18, 71, 71, 71, 3, 3, 3]"
2162,32,"[58, 58, 58, 46, 46, 46, 48, 48, 48, 65, 65, 65, 21, 21, 21, 3, 3, 3, 77, 77, 77, 49, 49, 49, 98, 98, 98, 13, 13, 13, 75, 75, 75, 0, 0, 0]"
2163,21,"[17, 17, 17, 82, 82, 82, 10, 10, 10, 73, 73, 73, 5, 5, 5, 37, 37, 37, 24, 24, 24, 58, 58, 58, 76, 76, 76, 4, 4, 4, 8, 8, 8, 77, 77, 77]"
2164,8,"[71, 71, 71, 71, 71, 71, 40, 40, 40, 34, 34, 34, 32, 32, 32, 55, 55, 55, 16, 16, 16, 63, 63, 63, 58, 58, 58, 71, 71, 71, 32, 32, 32, 2, 2, 2]"
2165,40,"[7, 7, 7, 59, 59, 59, 80, 80, 80, 63, 63, 63, 41, 41, 41, 34, 34, 34, 85, 85, 85, 68, 68, 68, 96, 96, 96, 100, 100, 100, 48, 48, 48, 54, 54, 54]"
2166,98,"[34, 34, 34, 61, 61, 61, 14, 14, 14, 84, 84, 84, 53, 53, 53, 82, 82, 82, 8, 8, 8, 55, 55, 55, 94, 94, 94, 21, 21, 21, 45, 45, 45, 14, 14, 14]"
2167,67,"[36, 36, 36, 21, 21, 21, 5, 5, 5, 35, 35, 35, 86, 86, 86, 42, 42, 42, 14, 14, 14, 5, 5, 5, 39, 39, 39, 41, 41, 41, 87, 87, 87, 55, 55, 55]"
2168,31,"[99, 99, 99, 55, 55, 55, 84, 84, 84, 14, 14, 14, 76, 76, 76, 28, 28, 28, 61, 61, 61, 33, 33, 33, 91, 91, 91, 80, 80, 80, 17, 17, 17, 49, 49, 49]"
2169,55,"[42, 42, 42, 64, 64, 64, 49, 49, 49, 27, 27, 27, 43, 43, 43, 0, 0, 0, 27, 27, 27, 44, 44, 44, 92, 92, 92, 31, 31, 31, 25, 25, 25, 74, 74, 74]"
2170,5,"[44, 44, 44, 35, 35, 35, 83, 83, 83, 91, 91, 91, 3, 3, 3, 20, 20, 20, 31, 31, 31, 56, 56, 56, 97, 97, 97, 46, 46, 46, 44, 44, 44, 4, 4, 4]"
2171,56,"[77, 77, 77, 7, 7, 7, 87, 87, 87, 92, 92, 92, 82, 82, 82, 67, 67, 67, 0, 0, 0, 72, 72, 72, 17, 17, 17, 74, 74, 74, 12, 12, 12, 79, 79, 79]"
2172,4,"[26, 26, 26, 43, 43, 43, 19, 19, 19, 51, 51, 51, 79, 79, 79, 26, 26, 26, 56, 56, 56, 10, 10, 10, 99, 99, 99, 49, 49, 49, 15, 15, 15, 57, 57, 57]"
2173,30,"[68, 68, 68, 58, 58, 58, 85, 85, 85, 19, 19, 19, 52, 52, 52, 46, 46, 46, 37, 37, 37, 99, 99, 99, 99, 99, 99, 81, 81, 81, 81, 81, 81, 23, 23, 23]"
2174,58,"[35, 35, 35, 0, 0, 0, 14, 14, 14, 39, 39, 39, 56, 56, 56, 24, 24, 24, 28, 28, 28, 75, 75, 75, 48, 48, 48, 22, 22, 22, 6, 6, 6, 10, 10, 10]"
2175,79,"[50, 50, 50, 62, 62, 62, 89, 89, 89, 45, 45, 45, 51, 51, 51, 77, 77, 77, 84, 84, 84, 63, 63, 63, 97, 97, 97, 64, 64, 64, 5, 5, 5, 36, 36, 36]"
2176,66,"[44, 44, 44, 93, 93, 93, 0, 0, 0, 43, 43, 43, 3, 3, 3, 53, 53, 53, 17, 17, 17, 54, 54, 54, 21, 21, 21, 18, 18, 18, 100, 100, 100, 54, 54, 54]"
2177,84,"[53, 53, 53, 54, 54, 54, 21, 21, 21, 36, 36, 36, 52, 52, 52, 37, 37, 37, 13, 13, 13, 37, 37, 37, 23, 23, 23, 74, 74, 74, 86, 86, 86, 38, 38, 38]"
2178,98,"[93, 93, 93, 33, 33, 33, 12, 12, 12, 61, 61, 61, 2, 2, 2, 87, 87, 87, 7, 7, 7, 35, 35, 35, 41, 41, 41, 48, 48, 48, 30, 30, 30, 100, 100, 100]"
2179,94,"[80, 80, 80, 86, 86, 86, 21, 21, 21, 36, 36, 36, 51, 51, 51, 12, 12, 12, 94, 94, 94, 90, 90, 90, 87, 87, 87, 23, 23, 23, 42, 42, 42, 91, 91, 91]"
2180,76,"[91, 91, 91, 68, 68, 68, 36, 36, 36, 84, 84, 84, 94, 94, 94, 40, 40, 40, 69, 69, 69, 71, 71, 71, 78, 78, 78, 42, 42, 42, 39, 39, 39, 92, 92, 92]"
2181,77,"[87, 87, 87, 76, 76, 76, 31, 31, 31, 35, 35, 35, 33, 33, 33, 74, 74, 74, 26, 26, 26, 95, 95, 95, 1, 1, 1, 23, 23, 23, 10, 10, 10, 78, 78, 78]"
2182,22,"[30, 30, 30, 53, 53, 53, 25, 25, 25, 29, 29, 29, 85, 85, 85, 32, 32, 32, 81, 81, 81, 91, 91, 91, 10, 10, 10, 67, 67, 67, 24, 24, 24, 45, 45, 45]"
2183,6,"[90, 90, 90, 9, 9, 9, 59, 59, 59, 74, 74, 74, 80, 80, 80, 41, 41, 41, 86, 86, 86, 92, 92, 92, 89, 89, 89, 83, 83, 83, 69, 69, 69, 54, 54, 54]"
2184,67,"[1, 1, 1, 30, 30, 30, 83, 83, 83, 33, 33, 33, 81, 81, 81, 88, 88, 88, 1, 1, 1, 56, 56, 56, 32, 32, 32, 70, 70, 70, 97, 97, 97, 47, 47, 47]"
2185,14,"[24, 24, 24, 55, 55, 55, 71, 71, 71, 23, 23, 23, 20, 20, 20, 82, 82, 82, 73, 73, 73, 69, 69, 69, 67, 67, 67, 59, 59, 59, 17, 17, 17, 34, 34, 34]"
2186,10,"[54, 54, 54, 13, 13, 13, 26, 26, 26, 59, 59, 59, 1, 1, 1, 81, 81, 81, 25, 25, 25, 21, 21, 21, 61, 61, 61, 77, 77, 77, 75, 75, 75, 8, 8, 8]"
2187,100,"[36, 36, 36, 79, 79, 79, 41, 41, 41, 44, 44, 44, 60, 60, 60, 28, 28, 28, 23, 23, 23, 75, 75, 75, 62, 62, 62, 44, 44, 44, 12, 12, 12, 22, 22, 22]"
2188,68,"[35, 35, 35, 43, 43, 43, 46, 46, 46, 56, 56, 56, 82, 82, 82, 45, 45, 45, 23, 23, 23, 83, 83, 83, 96, 96, 96, 2, 2, 2, 85, 85, 85, 91, 91, 91]"
2189,91,"[85, 85, 85, 36, 36, 36, 100, 100, 100, 20, 20, 20, 55, 55, 55, 28, 28, 28, 13, 13, 13, 87, 87, 87, 14, 14, 14, 28, 28, 28, 54, 54, 54, 33, 33, 33]"
2190,66,"[71, 71, 71, 98, 98, 98, 59, 59, 59, 41, 41, 41, 80, 80, 80, 52, 52, 52, 73, 73, 73, 1, 1, 1, 36, 36, 36, 22, 22, 22, 88, 88, 88, 69, 69, 69]"
2191,6,"[19, 19, 19, 34, 34, 34, 34, 34, 34, 98, 98, 98, 81, 81, 81, 60, 60, 60, 96, 96, 96, 27, 27, 27, 76, 76, 76, 48, 48, 48, 53, 53, 53, 22, 22, 22]"
2192,96,"[89, 89, 89, 66, 66, 66, 21, 21, 21, 64, 64, 64, 80, 80, 80, 38, 38, 38, 38, 38, 38, 10, 10, 10, 88, 88, 88, 76, 76, 76, 22, 22, 22, 18, 18, 18]"
2193,75,"[19, 19, 19, 18, 18, 18, 8, 8, 8, 95, 95, 95, 87, 87, 87, 79, 79, 79, 11, 11, 11, 15, 15, 15, 77, 77, 77, 99, 99, 99, 51, 51, 51, 62, 62, 62]"
2194,50,"[10, 10, 10, 65, 65, 65, 41, 41, 41, 89, 89, 89, 66, 66, 66, 29, 29, 29, 5, 5, 5, 49, 49, 49, 2, 2, 2, 24, 24, 24, 47, 47, 47, 26, 26, 26]"
2195,38,"[71, 71, 71, 29, 29, 29, 70, 70, 70, 35, 35, 35, 99, 99, 99, 79, 79, 79, 82, 82, 82, 38, 38, 38, 19, 19, 19, 1, 1, 1, 37, 37, 37, 1, 1, 1]"
2196,44,"[57, 57, 57, 27, 27, 27, 20, 20, 20, 36, 36, 36, 37, 37, 37, 81, 81, 81, 66, 66, 66, 43, 43, 43, 11, 11, 11, 27, 27, 27, 52, 52, 52, 28, 28, 28]"
2197,74,"[10, 10, 10, 6, 6, 6, 27, 27, 27, 99, 99, 99, 39, 39, 39, 75, 75, 75, 7, 7, 7, 35, 35, 35, 15, 15, 15, 7, 7, 7, 74, 74, 74, 85, 85, 85]"
2198,13,"[56, 56, 56, 9, 9, 9, 80, 80, 80, 77, 77, 77, 65, 65, 65, 52, 52, 52, 87, 87, 87, 58, 58, 58, 14, 14, 14, 44, 44, 44, 77, 77, 77, 80, 80, 80]"
2199,5,"[19, 19, 19, 91, 91, 91, 49, 49, 49, 89, 89, 89, 37, 37, 37, 28, 28, 28, 65, 65, 65, 15, 15, 15, 10, 10, 10, 23, 23, 23, 58, 58, 58, 51, 51, 51]"
2200,30,"[7, 7, 7, 14, 14, 14, 78, 78, 78, 96, 96, 96, 80, 80, 80, 71, 71, 71, 40, 40, 40, 12, 12, 12, 80, 80, 80, 95, 95, 95, 79, 79, 79, 99, 99, 99]"
2201,17,"[1, 1, 1, 40, 40, 40, 80, 80, 80, 36, 36, 36, 59, 59, 59, 37, 37, 37, 28, 28, 28, 23, 23, 23, 76, 76, 76, 50, 50, 50, 41, 41, 41, 98, 98, 98]"
